INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../eventsToImage_tb.cpp in debug mode
   Compiling ../../../eventsToImage.cpp in debug mode
   Generating csim.exe
img[88]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[89]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[90]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[91]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[92]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[93]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[94]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[95]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[96]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[97]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[98]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[99]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[100]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[101]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[102]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[103]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[104]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[105]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[106]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[107]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[108]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[109]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[110]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[111]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[112]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
